"Variable" "SubjectCode" "Activity" "Mean"
"BodyAccelerometerSignalMeanX" 9 "Walking Upstairs" 0.262436475714286
"BodyAccelerometerSignalMeanX" 10 "Laying" 0.280230574137931
"BodyAccelerometerSignalMeanX" 10 "Sitting" 0.270612056481481
"BodyAccelerometerSignalMeanX" 10 "Standing" 0.276650300681818
"BodyAccelerometerSignalMeanX" 10 "Walking" 0.278574076603774
"BodyAccelerometerSignalMeanX" 10 "Walking Downstairs" 0.290401594315789
"BodyAccelerometerSignalMeanX" 10 "Walking Upstairs" 0.267121853404255
"BodyAccelerometerSignalMeanX" 11 "Laying" 0.280592970877193
"BodyAccelerometerSignalMeanX" 11 "Sitting" 0.276590197358491
"BodyAccelerometerSignalMeanX" 11 "Standing" 0.277715562765957
"BodyAccelerometerSignalMeanX" 11 "Walking" 0.271821892881356
"BodyAccelerometerSignalMeanX" 11 "Walking Downstairs" 0.291605631956522
"BodyAccelerometerSignalMeanX" 11 "Walking Upstairs" 0.263775859277778
"BodyAccelerometerSignalMeanX" 12 "Laying" 0.260113433
"BodyAccelerometerSignalMeanX" 12 "Sitting" 0.275007224901961
"BodyAccelerometerSignalMeanX" 12 "Standing" 0.277405834918033
"BodyAccelerometerSignalMeanX" 12 "Walking" 0.2771286656
"BodyAccelerometerSignalMeanX" 12 "Walking Downstairs" 0.281521097391304
"BodyAccelerometerSignalMeanX" 12 "Walking Upstairs" 0.272970338653846
"BodyAccelerometerSignalMeanX" 13 "Laying" 0.276716360483871
"BodyAccelerometerSignalMeanX" 13 "Sitting" 0.274328499591837
"BodyAccelerometerSignalMeanX" 13 "Standing" 0.277758431052632
"BodyAccelerometerSignalMeanX" 13 "Walking" 0.275883130350877
"BodyAccelerometerSignalMeanX" 13 "Walking Downstairs" 0.294907553404255
"BodyAccelerometerSignalMeanX" 13 "Walking Upstairs" 0.258203939581818
"BodyAccelerometerSignalMeanX" 14 "Laying" 0.233275439803922
"BodyAccelerometerSignalMeanX" 14 "Sitting" 0.279990577037037
"BodyAccelerometerSignalMeanX" 14 "Standing" 0.280545613833333
"BodyAccelerometerSignalMeanX" 14 "Walking" 0.271959598644068
"BodyAccelerometerSignalMeanX" 14 "Walking Downstairs" 0.293422115555556
"BodyAccelerometerSignalMeanX" 14 "Walking Upstairs" 0.26242106612963
"BodyAccelerometerSignalMeanX" 15 "Laying" 0.2894756525
"BodyAccelerometerSignalMeanX" 15 "Sitting" 0.27290337979661
"BodyAccelerometerSignalMeanX" 15 "Standing" 0.278915803962264
"BodyAccelerometerSignalMeanX" 15 "Walking" 0.273899207962963
"BodyAccelerometerSignalMeanX" 15 "Walking Downstairs" 0.280198851190476
"BodyAccelerometerSignalMeanX" 15 "Walking Upstairs" 0.270187595833333
"BodyAccelerometerSignalMeanX" 16 "Laying" 0.274227162571429
"BodyAccelerometerSignalMeanX" 16 "Sitting" 0.280768574492754
"BodyAccelerometerSignalMeanX" 16 "Standing" 0.283497402948718
"BodyAccelerometerSignalMeanX" 16 "Walking" 0.276023564509804
"BodyAccelerometerSignalMeanX" 16 "Walking Downstairs" 0.295586802191489
"BodyAccelerometerSignalMeanX" 16 "Walking Upstairs" 0.255986102627451
"BodyAccelerometerSignalMeanX" 17 "Laying" 0.269780085577465
"BodyAccelerometerSignalMeanX" 17 "Sitting" 0.2773570196875
"BodyAccelerometerSignalMeanX" 17 "Standing" 0.277942503333333
"BodyAccelerometerSignalMeanX" 17 "Walking" 0.272341855245902
"BodyAccelerometerSignalMeanX" 17 "Walking Downstairs" 0.29391828326087
"BodyAccelerometerSignalMeanX" 17 "Walking Upstairs" 0.252604768583333
"BodyAccelerometerSignalMeanX" 18 "Laying" 0.274691576923077
"BodyAccelerometerSignalMeanX" 18 "Sitting" 0.27727001877193
"BodyAccelerometerSignalMeanX" 18 "Standing" 0.278458805890411
"BodyAccelerometerSignalMeanX" 18 "Walking" 0.273887758571429
"BodyAccelerometerSignalMeanX" 18 "Walking Downstairs" 0.288439468909091
"BodyAccelerometerSignalMeanX" 18 "Walking Upstairs" 0.265401201896552
"BodyAccelerometerSignalMeanX" 19 "Laying" 0.272653733493976
"BodyAccelerometerSignalMeanX" 19 "Sitting" 0.273830316164384
"BodyAccelerometerSignalMeanX" 19 "Standing" 0.27817226
"BodyAccelerometerSignalMeanX" 19 "Walking" 0.273931172307692
"BodyAccelerometerSignalMeanX" 19 "Walking Downstairs" 0.262688053871795
"BodyAccelerometerSignalMeanX" 19 "Walking Upstairs" 0.242118808925
"BodyAccelerometerSignalMeanX" 20 "Laying" 0.239507882205882
"BodyAccelerometerSignalMeanX" 20 "Sitting" 0.278045439090909
"BodyAccelerometerSignalMeanX" 20 "Standing" 0.278076904657534
"BodyAccelerometerSignalMeanX" 20 "Walking" 0.272589336470588
"BodyAccelerometerSignalMeanX" 20 "Walking Downstairs" 0.296144421355556
"BodyAccelerometerSignalMeanX" 20 "Walking Upstairs" 0.252098317156863
"BodyAccelerometerSignalMeanX" 21 "Laying" 0.271325472455556
"BodyAccelerometerSignalMeanX" 21 "Sitting" 0.277539616823529
"BodyAccelerometerSignalMeanX" 21 "Standing" 0.27695224258427
"BodyAccelerometerSignalMeanX" 21 "Walking" 0.279183526730769
"BodyAccelerometerSignalMeanX" 21 "Walking Downstairs" 0.3014610196
"BodyAccelerometerSignalMeanX" 21 "Walking Upstairs" 0.265194544680851
"BodyAccelerometerSignalMeanX" 22 "Laying" 0.279959721194444
"BodyAccelerometerSignalMeanX" 22 "Sitting" 0.273583822709677
"BodyAccelerometerSignalMeanX" 22 "Standing" 0.279053861587302
"BodyAccelerometerSignalMeanX" 22 "Walking" 0.27886459
"BodyAccelerometerSignalMeanX" 22 "Walking Downstairs" 0.284458963861111
"BodyAccelerometerSignalMeanX" 22 "Walking Upstairs" 0.248391534566667
"BodyAccelerometerSignalMeanX" 23 "Laying" 0.274038007986111
"BodyAccelerometerSignalMeanX" 23 "Sitting" 0.273351251617647
"BodyAccelerometerSignalMeanX" 23 "Standing" 0.277899323235294
"BodyAccelerometerSignalMeanX" 23 "Walking" 0.273211884237288
"BodyAccelerometerSignalMeanX" 23 "Walking Downstairs" 0.289897411148148
"BodyAccelerometerSignalMeanX" 23 "Walking Upstairs" 0.249995171031373
"BodyAccelerometerSignalMeanX" 24 "Laying" 0.272850494930556
"BodyAccelerometerSignalMeanX" 24 "Sitting" 0.273475690147059
"BodyAccelerometerSignalMeanX" 24 "Standing" 0.280348883913043
"BodyAccelerometerSignalMeanX" 24 "Walking" 0.276980816034483
"BodyAccelerometerSignalMeanX" 24 "Walking Downstairs" 0.288631208909091
"BodyAccelerometerSignalMeanX" 24 "Walking Upstairs" 0.269881106779661
"BodyAccelerometerSignalMeanX" 25 "Laying" 0.250791828613699
"BodyAccelerometerSignalMeanX" 25 "Sitting" 0.278541482461538
"BodyAccelerometerSignalMeanX" 25 "Standing" 0.278013701621622
"BodyAccelerometerSignalMeanX" 25 "Walking" 0.278992759054054
"BodyAccelerometerSignalMeanX" 25 "Walking Downstairs" 0.291329666206897
"BodyAccelerometerSignalMeanX" 25 "Walking Upstairs" 0.277995411384615
"BodyAccelerometerSignalMeanX" 26 "Laying" 0.271645864540789
"BodyAccelerometerSignalMeanX" 26 "Sitting" 0.258243530166667
"BodyAccelerometerSignalMeanX" 26 "Standing" 0.281127035405405
"BodyAccelerometerSignalMeanX" 26 "Walking" 0.279264443728814
"BodyAccelerometerSignalMeanX" 26 "Walking Downstairs" 0.2792845828
"BodyAccelerometerSignalMeanX" 26 "Walking Upstairs" 0.272691394545455
"BodyAccelerometerSignalMeanX" 27 "Laying" 0.274102492432432
"BodyAccelerometerSignalMeanX" 27 "Sitting" 0.273941302571429
"BodyAccelerometerSignalMeanX" 27 "Standing" 0.279566921625
"BodyAccelerometerSignalMeanX" 27 "Walking" 0.276849485438596
"BodyAccelerometerSignalMeanX" 27 "Walking Downstairs" 0.2975441875
"BodyAccelerometerSignalMeanX" 27 "Walking Upstairs" 0.265770253921569
"BodyAccelerometerSignalMeanX" 28 "Laying" 0.2759134825
"BodyAccelerometerSignalMeanX" 28 "Sitting" 0.276977629444444
"BodyAccelerometerSignalMeanX" 28 "Standing" 0.277795069113924
"BodyAccelerometerSignalMeanX" 28 "Walking" 0.281228223888889
"BodyAccelerometerSignalMeanX" 28 "Walking Downstairs" 0.293642076521739
"BodyAccelerometerSignalMeanX" 28 "Walking Upstairs" 0.262005841764706
"BodyAccelerometerSignalMeanX" 29 "Laying" 0.287295196811594
"BodyAccelerometerSignalMeanX" 29 "Sitting" 0.2771799775
"BodyAccelerometerSignalMeanX" 29 "Standing" 0.277965065846154
"BodyAccelerometerSignalMeanX" 29 "Walking" 0.271999916792453
"BodyAccelerometerSignalMeanX" 29 "Walking Downstairs" 0.293140441083333
"BodyAccelerometerSignalMeanX" 29 "Walking Upstairs" 0.265423066877551
"BodyAccelerometerSignalMeanX" 30 "Laying" 0.281033900571429
"BodyAccelerometerSignalMeanX" 30 "Sitting" 0.268336081379032
"BodyAccelerometerSignalMeanX" 30 "Standing" 0.277112699152542
"BodyAccelerometerSignalMeanX" 30 "Walking" 0.276406758
"BodyAccelerometerSignalMeanX" 30 "Walking Downstairs" 0.283190646967742
"BodyAccelerometerSignalMeanX" 30 "Walking Upstairs" 0.271415642261538
"BodyAccelerometerSignalMeanY" 1 "Laying" -0.0405139534294
"BodyAccelerometerSignalMeanY" 1 "Sitting" -0.00130828765170213
"BodyAccelerometerSignalMeanY" 1 "Standing" -0.0161375901037736
"BodyAccelerometerSignalMeanY" 1 "Walking" -0.0173838185273684
"BodyAccelerometerSignalMeanY" 1 "Walking Downstairs" -0.00991850461020408
"BodyAccelerometerSignalMeanY" 1 "Walking Upstairs" -0.0239531492643396
"BodyAccelerometerSignalMeanY" 2 "Laying" -0.0181587397583333
"BodyAccelerometerSignalMeanY" 2 "Sitting" -0.0156879937282609
"BodyAccelerometerSignalMeanY" 2 "Standing" -0.0184208270166667
"BodyAccelerometerSignalMeanY" 2 "Walking" -0.0185949199145763
"BodyAccelerometerSignalMeanY" 2 "Walking Downstairs" -0.0226614158361702
"BodyAccelerometerSignalMeanY" 2 "Walking Upstairs" -0.0214121132045833
"BodyAccelerometerSignalMeanY" 3 "Laying" -0.0189556785048387
"BodyAccelerometerSignalMeanY" 3 "Sitting" -0.00350299841730769
"BodyAccelerometerSignalMeanY" 3 "Standing" -0.0143376555065574
"BodyAccelerometerSignalMeanY" 3 "Walking" -0.0171767844203448
"BodyAccelerometerSignalMeanY" 3 "Walking Downstairs" -0.0193554079328571
"BodyAccelerometerSignalMeanY" 3 "Walking Upstairs" -0.0324109410555932
"BodyAccelerometerSignalMeanY" 4 "Laying" -0.0150031841055556
"BodyAccelerometerSignalMeanY" 4 "Sitting" -0.007163065158
"BodyAccelerometerSignalMeanY" 4 "Standing" -0.00948911098553571
"BodyAccelerometerSignalMeanY" 4 "Walking" -0.0148399475341667
"BodyAccelerometerSignalMeanY" 4 "Walking Downstairs" -0.00980200850666667
"BodyAccelerometerSignalMeanY" 4 "Walking Upstairs" -0.0319804295729615
"BodyAccelerometerSignalMeanY" 5 "Laying" -0.0183042123269231
"BodyAccelerometerSignalMeanY" 5 "Sitting" -0.00990083527045455
"BodyAccelerometerSignalMeanY" 5 "Standing" -0.00700418554517857
"BodyAccelerometerSignalMeanY" 5 "Walking" -0.0172850317482679
"BodyAccelerometerSignalMeanY" 5 "Walking Downstairs" -0.00850107533191489
"BodyAccelerometerSignalMeanY" 5 "Walking Upstairs" -0.0325269755153191
"BodyAccelerometerSignalMeanY" 6 "Laying" -0.0102529170561404
"BodyAccelerometerSignalMeanY" 6 "Sitting" -0.0145911615290909
"BodyAccelerometerSignalMeanY" 6 "Standing" -0.0181236327175439
"BodyAccelerometerSignalMeanY" 6 "Walking" -0.0168954189082456
"BodyAccelerometerSignalMeanY" 6 "Walking Downstairs" -0.019536840063125
"BodyAccelerometerSignalMeanY" 6 "Walking Upstairs" -0.0272425385070588
"BodyAccelerometerSignalMeanY" 7 "Laying" -0.0204411516884615
"BodyAccelerometerSignalMeanY" 7 "Sitting" -0.01461097580375
"BodyAccelerometerSignalMeanY" 7 "Standing" -0.0145740341037736
"BodyAccelerometerSignalMeanY" 7 "Walking" -0.018653665345614
"BodyAccelerometerSignalMeanY" 7 "Walking Downstairs" -0.0166332372978723
"BodyAccelerometerSignalMeanY" 7 "Walking Upstairs" -0.0275639005607843
"BodyAccelerometerSignalMeanY" 8 "Laying" -0.0212281733881481
"BodyAccelerometerSignalMeanY" 8 "Sitting" -0.00672550621304348
"BodyAccelerometerSignalMeanY" 8 "Standing" -0.0148113067148148
"BodyAccelerometerSignalMeanY" 8 "Walking" -0.0186628865310417
"BodyAccelerometerSignalMeanY" 8 "Walking Downstairs" -0.0211058674973684
"BodyAccelerometerSignalMeanY" 8 "Walking Upstairs" -0.0282415136341463
"BodyAccelerometerSignalMeanY" 9 "Laying" -0.020526821662
"BodyAccelerometerSignalMeanY" 9 "Sitting" -0.02701677698
"BodyAccelerometerSignalMeanY" 9 "Standing" -0.0200454954022222
"BodyAccelerometerSignalMeanY" 9 "Walking" -0.0180891971284423
"BodyAccelerometerSignalMeanY" 9 "Walking Downstairs" -0.0203994269075476
"BodyAccelerometerSignalMeanY" 9 "Walking Upstairs" -0.0195101099975714
"BodyAccelerometerSignalMeanY" 10 "Laying" -0.024294484137931
"BodyAccelerometerSignalMeanY" 10 "Sitting" -0.015042681852037
"BodyAccelerometerSignalMeanY" 10 "Standing" -0.0155418603409091
"BodyAccelerometerSignalMeanY" 10 "Walking" -0.017022351190566
"BodyAccelerometerSignalMeanY" 10 "Walking Downstairs" -0.0200050770710526
"BodyAccelerometerSignalMeanY" 10 "Walking Upstairs" -0.0143854920340426
"BodyAccelerometerSignalMeanY" 11 "Laying" -0.0176598052315789
"BodyAccelerometerSignalMeanY" 11 "Sitting" -0.0149195616754717
"BodyAccelerometerSignalMeanY" 11 "Standing" -0.0171990886595745
"BodyAccelerometerSignalMeanY" 11 "Walking" -0.0166475833623729
"BodyAccelerometerSignalMeanY" 11 "Walking Downstairs" -0.0178097721219565
"BodyAccelerometerSignalMeanY" 11 "Walking Upstairs" -0.0303157822055556
"BodyAccelerometerSignalMeanY" 12 "Laying" -0.0175203917146667
"BodyAccelerometerSignalMeanY" 12 "Sitting" -0.0157892988523529
"BodyAccelerometerSignalMeanY" 12 "Standing" -0.0169002543196721
"BodyAccelerometerSignalMeanY" 12 "Walking" -0.015560927606
"BodyAccelerometerSignalMeanY" 12 "Walking Downstairs" -0.018084266865793
"BodyAccelerometerSignalMeanY" 12 "Walking Upstairs" -0.0263574903403846
"BodyAccelerometerSignalMeanY" 13 "Laying" -0.020440454366129
"BodyAccelerometerSignalMeanY" 13 "Sitting" -0.00587732936326531
"BodyAccelerometerSignalMeanY" 13 "Standing" -0.0167891993964912
"BodyAccelerometerSignalMeanY" 13 "Walking" -0.0185660651947368
"BodyAccelerometerSignalMeanY" 13 "Walking Downstairs" -0.0143723839108511
"BodyAccelerometerSignalMeanY" 13 "Walking Upstairs" -0.0277392253910909
"BodyAccelerometerSignalMeanY" 14 "Laying" -0.0113424652490196
"BodyAccelerometerSignalMeanY" 14 "Sitting" -0.00870565463888889
"BodyAccelerometerSignalMeanY" 14 "Standing" -0.01520781344
"BodyAccelerometerSignalMeanY" 14 "Walking" -0.0217785380966102
"BodyAccelerometerSignalMeanY" 14 "Walking Downstairs" -0.0200141413657778
"BodyAccelerometerSignalMeanY" 14 "Walking Upstairs" -0.0204388180024074
"BodyAccelerometerSignalMeanY" 15 "Laying" -0.0166296542054167
"BodyAccelerometerSignalMeanY" 15 "Sitting" -0.0117188472271186
"BodyAccelerometerSignalMeanY" 15 "Standing" -0.0183516360396226
"BodyAccelerometerSignalMeanY" 15 "Walking" -0.0170809740090741
"BodyAccelerometerSignalMeanY" 15 "Walking Downstairs" -0.00563047804309524
"BodyAccelerometerSignalMeanY" 15 "Walking Upstairs" -0.0287523860708333
"BodyAccelerometerSignalMeanY" 16 "Laying" -0.0166103510562857
"BodyAccelerometerSignalMeanY" 16 "Sitting" -0.0102497939956522
"BodyAccelerometerSignalMeanY" 16 "Standing" -0.0165999672935897
"BodyAccelerometerSignalMeanY" 16 "Walking" -0.0204286929452941
"BodyAccelerometerSignalMeanY" 16 "Walking Downstairs" -0.0183898583787234
"BodyAccelerometerSignalMeanY" 16 "Walking Upstairs" -0.0143654945011765
"BodyAccelerometerSignalMeanY" 17 "Laying" -0.0168462006729577
"BodyAccelerometerSignalMeanY" 17 "Sitting" -0.014156274084375
"BodyAccelerometerSignalMeanY" 17 "Standing" -0.0174120064169231
"BodyAccelerometerSignalMeanY" 17 "Walking" -0.0184875403339344
"BodyAccelerometerSignalMeanY" 17 "Walking Downstairs" -0.0167359404347826
"BodyAccelerometerSignalMeanY" 17 "Walking Upstairs" -0.0228645614308333
"BodyAccelerometerSignalMeanY" 18 "Laying" -0.0173937684615385
"BodyAccelerometerSignalMeanY" 18 "Sitting" -0.0128691279736842
"BodyAccelerometerSignalMeanY" 18 "Standing" -0.0166353518150685
"BodyAccelerometerSignalMeanY" 18 "Walking" -0.0178023631866071
"BodyAccelerometerSignalMeanY" 18 "Walking Downstairs" -0.0168666920221818
"BodyAccelerometerSignalMeanY" 18 "Walking Upstairs" -0.0222060684378914
"BodyAccelerometerSignalMeanY" 19 "Laying" -0.0171426864421687
"BodyAccelerometerSignalMeanY" 19 "Sitting" -0.016739260030137
"BodyAccelerometerSignalMeanY" 19 "Standing" -0.0154244056945205
"BodyAccelerometerSignalMeanY" 19 "Walking" -0.0191773587903846
"BodyAccelerometerSignalMeanY" 19 "Walking Downstairs" -0.0145942275069487
"BodyAccelerometerSignalMeanY" 19 "Walking Upstairs" -0.0303986615775
"BodyAccelerometerSignalMeanY" 20 "Laying" -0.0144406281132353
"BodyAccelerometerSignalMeanY" 20 "Sitting" -0.0147229305131818
"BodyAccelerometerSignalMeanY" 20 "Standing" -0.0180695049161644
"BodyAccelerometerSignalMeanY" 20 "Walking" -0.021199992245098
"BodyAccelerometerSignalMeanY" 20 "Walking Downstairs" -0.00964120773155556
"BodyAccelerometerSignalMeanY" 20 "Walking Upstairs" -0.0282258047588235
"BodyAccelerometerSignalMeanY" 21 "Laying" -0.0184233048415556
"BodyAccelerometerSignalMeanY" 21 "Sitting" -0.0144009705494118
"BodyAccelerometerSignalMeanY" 21 "Standing" -0.0167084730205618
"BodyAccelerometerSignalMeanY" 21 "Walking" -0.0181610317526923
"BodyAccelerometerSignalMeanY" 21 "Walking Downstairs" -0.0173195390157778
"BodyAccelerometerSignalMeanY" 21 "Walking Upstairs" -0.0237218695148936
"BodyAccelerometerSignalMeanY" 22 "Laying" -0.0142629864502778
"BodyAccelerometerSignalMeanY" 22 "Sitting" -0.0123468446419355
"BodyAccelerometerSignalMeanY" 22 "Standing" -0.0158563207496825
"BodyAccelerometerSignalMeanY" 22 "Walking" -0.0167213607957174
"BodyAccelerometerSignalMeanY" 22 "Walking Downstairs" -0.0197999371686389
"BodyAccelerometerSignalMeanY" 22 "Walking Upstairs" -0.0268622561133333
"BodyAccelerometerSignalMeanY" 23 "Laying" -0.0216553835833333
"BodyAccelerometerSignalMeanY" 23 "Sitting" -0.0133945015676471
"BodyAccelerometerSignalMeanY" 23 "Standing" -0.0177475547867647
"BodyAccelerometerSignalMeanY" 23 "Walking" -0.0183618711932203
"BodyAccelerometerSignalMeanY" 23 "Walking Downstairs" -0.0162111457238889
"BodyAccelerometerSignalMeanY" 23 "Walking Upstairs" -0.0323844029237255
"BodyAccelerometerSignalMeanY" 24 "Laying" -0.0173555210111111
"BodyAccelerometerSignalMeanY" 24 "Sitting" -0.0131255097938235
"BodyAccelerometerSignalMeanY" 24 "Standing" -0.0144785340348986
"BodyAccelerometerSignalMeanY" 24 "Walking" -0.0225446400534483
"BodyAccelerometerSignalMeanY" 24 "Walking Downstairs" -0.0145730348310909
"BodyAccelerometerSignalMeanY" 24 "Walking Upstairs" -0.0251979434569492
"BodyAccelerometerSignalMeanY" 25 "Laying" -0.0188943663671233
"BodyAccelerometerSignalMeanY" 25 "Sitting" -0.0147696808030769
"BodyAccelerometerSignalMeanY" 25 "Standing" -0.0163569730274324
"BodyAccelerometerSignalMeanY" 25 "Walking" -0.0186477624716216
"BodyAccelerometerSignalMeanY" 25 "Walking Downstairs" -0.0210170522987931
"BodyAccelerometerSignalMeanY" 25 "Walking Upstairs" -0.0269863524264615
"BodyAccelerometerSignalMeanY" 26 "Laying" -0.0191895728026316
"BodyAccelerometerSignalMeanY" 26 "Sitting" -0.00713364541358974
"BodyAccelerometerSignalMeanY" 26 "Standing" -0.0166608306652703
"BodyAccelerometerSignalMeanY" 26 "Walking" -0.0154259586949153
"BodyAccelerometerSignalMeanY" 26 "Walking Downstairs" -0.01262580966778
"BodyAccelerometerSignalMeanY" 26 "Walking Upstairs" -0.0281633797398182
"BodyAccelerometerSignalMeanY" 27 "Laying" -0.0179867611216216
"BodyAccelerometerSignalMeanY" 27 "Sitting" -0.0155269799285714
"BodyAccelerometerSignalMeanY" 27 "Standing" -0.016593236445
"BodyAccelerometerSignalMeanY" 27 "Walking" -0.0166478783221912
"BodyAccelerometerSignalMeanY" 27 "Walking Downstairs" -0.0135564467159091
"BodyAccelerometerSignalMeanY" 27 "Walking Upstairs" -0.0200953324078431
"BodyAccelerometerSignalMeanY" 28 "Laying" -0.0167537858225
"BodyAccelerometerSignalMeanY" 28 "Sitting" -0.0185404441258333
"BodyAccelerometerSignalMeanY" 28 "Standing" -0.0172635124672152
"BodyAccelerometerSignalMeanY" 28 "Walking" -0.0156759722981481
"BodyAccelerometerSignalMeanY" 28 "Walking Downstairs" -0.0220230465913043
"BodyAccelerometerSignalMeanY" 28 "Walking Upstairs" -0.0279443943478431
"BodyAccelerometerSignalMeanY" 29 "Laying" -0.0171965484202899
"BodyAccelerometerSignalMeanY" 29 "Sitting" -0.016630680375
"BodyAccelerometerSignalMeanY" 29 "Standing" -0.0172605869061538
"BodyAccelerometerSignalMeanY" 29 "Walking" -0.0162915600588679
"BodyAccelerometerSignalMeanY" 29 "Walking Downstairs" -0.01494121505625
"BodyAccelerometerSignalMeanY" 29 "Walking Upstairs" -0.0299465312326531
"BodyAccelerometerSignalMeanY" 30 "Laying" -0.0194494098614286
"BodyAccelerometerSignalMeanY" 30 "Sitting" -0.00804731295322581
"BodyAccelerometerSignalMeanY" 30 "Standing" -0.0170163887813559
"BodyAccelerometerSignalMeanY" 30 "Walking" -0.0175880385730769
"BodyAccelerometerSignalMeanY" 30 "Walking Downstairs" -0.0174383900204839
"BodyAccelerometerSignalMeanY" 30 "Walking Upstairs" -0.0253311698786154
"BodyAccelerometerSignalMeanZ" 1 "Laying" -0.11320355358
"BodyAccelerometerSignalMeanZ" 1 "Sitting" -0.104544182255319
"BodyAccelerometerSignalMeanZ" 1 "Standing" -0.110601817735849
"BodyAccelerometerSignalMeanZ" 1 "Walking" -0.111148103547368
"BodyAccelerometerSignalMeanZ" 1 "Walking Downstairs" -0.107566190908163
"BodyAccelerometerSignalMeanZ" 1 "Walking Upstairs" -0.0973020020943396
"BodyAccelerometerSignalMeanZ" 2 "Laying" -0.107245610416667
"BodyAccelerometerSignalMeanZ" 2 "Sitting" -0.109218272456522
"BodyAccelerometerSignalMeanZ" 2 "Standing" -0.105908536055556
"BodyAccelerometerSignalMeanZ" 2 "Walking" -0.105500357966102
"BodyAccelerometerSignalMeanZ" 2 "Walking Downstairs" -0.116812942382979
"BodyAccelerometerSignalMeanZ" 2 "Walking Upstairs" -0.152513899520833
"BodyAccelerometerSignalMeanZ" 3 "Laying" -0.101300477506452
"BodyAccelerometerSignalMeanZ" 3 "Sitting" -0.0983579203269231
"BodyAccelerometerSignalMeanZ" 3 "Standing" -0.101621722633148
